
================================================================================
MAINTENANCE COST ADJUSTMENT - 2025-05-13 23:09:14
Division factor: 10.0
================================================================================


================================================================================
MAINTENANCE COST ADJUSTMENT - 2025-05-13 23:09:20
Division factor: 10.0
================================================================================

2025-05-13 23:09:22 | Apothecary | C:\Citizens\reyno\serenissima\data\buildings\commercial\retail_shops\apothecary.json | 7500 -> 750 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Bottega | C:\Citizens\reyno\serenissima\data\buildings\commercial\retail_shops\bottega.json | 6000 -> 600 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Luxury Showroom | C:\Citizens\reyno\serenissima\data\buildings\commercial\retail_shops\luxury_showroom.json | 20000 -> 2000 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Contract Stall | C:\Citizens\reyno\serenissima\data\buildings\commercial\retail_shops\contract_stall.json | 1000 -> 100 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Merceria | C:\Citizens\reyno\serenissima\data\buildings\commercial\retail_shops\merceria.json | 6000 -> 600 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Broker's Office | C:\Citizens\reyno\serenissima\data\buildings\commercial\trade_facilities\broker_s_office.json | 8000 -> 800 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Customs House | C:\Citizens\reyno\serenissima\data\buildings\commercial\trade_facilities\customs_house.json | 25000 -> 2500 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Eastern Merchant House | C:\Citizens\reyno\serenissima\data\buildings\commercial\trade_facilities\eastern_merchant_house.json | 30000 -> 3000 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Fondaco dei Tedeschi | C:\Citizens\reyno\serenissima\data\buildings\commercial\trade_facilities\fondaco_dei_tedeschi.json | 35000 -> 3500 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Weighing Station | C:\Citizens\reyno\serenissima\data\buildings\commercial\trade_facilities\weighing_station.json | 13500 -> 1350 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Smuggler's Den | C:\Citizens\reyno\serenissima\data\buildings\criminal\illicit_operations\smuggler_s_den.json | 25000 -> 2500 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Hidden Workshop | C:\Citizens\reyno\serenissima\data\buildings\criminal\illicit_production\hidden_workshop.json | 30000 -> 3000 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Spy Safehouse | C:\Citizens\reyno\serenissima\data\buildings\criminal\intelligence_operations\spy_safehouse.json | 35000 -> 3500 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Granary | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\storage_facilities\granary.json | 25000 -> 2500 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Secure Vault | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\storage_facilities\secure_vault.json | 40000 -> 4000 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Small Warehouse | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\storage_facilities\small_warehouse.json | 12500 -> 1250 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Wine Cellar | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\storage_facilities\wine_cellar.json | 17500 -> 1750 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Bridge | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\transportation_facilities\bridge.json | 25000 -> 2500 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Cargo Landing | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\transportation_facilities\cargo_landing.json | 45000 -> 4500 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Gondola Station | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\transportation_facilities\gondola_station.json | 20000 -> 2000 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Private Dock | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\transportation_facilities\private_dock.json | 22500 -> 2250 (÷10.0) | SUCCESS
2025-05-13 23:09:22 | Public Dock | C:\Citizens\reyno\serenissima\data\buildings\infrastructure\transportation_facilities\public_dock.json | 15000 -> 1500 (÷10.0) | SUCCESS
